Date,Member,Rides
4/15/2014,0,48
4/16/2014,0,135
4/17/2014,0,413
4/18/2014,0,566
4/19/2014,0,1159
4/20/2014,0,1417
4/21/2014,0,927
4/22/2014,0,249
4/23/2014,0,415
4/24/2014,0,789
4/25/2014,0,1123
4/26/2014,0,294
4/27/2014,0,609
4/28/2014,0,751
4/29/2014,0,913
4/30/2014,0,317
5/1/2014,0,537
5/2/2014,0,944
5/3/2014,0,1301
5/4/2014,0,345
5/5/2014,0,743
5/6/2014,0,1097
5/7/2014,0,1447
5/8/2014,0,1553
5/9/2014,0,1123
5/10/2014,0,2325
5/11/2014,0,2534
5/12/2014,0,1380
5/13/2014,0,966
5/14/2014,0,1259
5/15/2014,0,1609
5/16/2014,0,546
5/17/2014,0,1795
5/18/2014,0,3624
5/19/2014,0,2888
5/20/2014,0,1980
5/21/2014,0,1733
5/22/2014,0,1022
5/23/2014,0,1457
5/24/2014,0,4369
5/25/2014,0,4603
5/26/2014,0,1519
5/27/2014,0,494
5/28/2014,0,930
5/29/2014,0,1954
5/30/2014,0,2022
5/31/2014,0,4287
6/1/2014,0,4192
6/2/2014,0,2485
6/3/2014,0,1110
6/4/2014,0,1714
6/5/2014,0,1254
6/6/2014,0,2193
6/7/2014,0,4647
6/8/2014,0,3554
6/9/2014,0,1792
6/10/2014,0,1756
6/11/2014,0,1229
6/12/2014,0,329
6/13/2014,0,439
6/14/2014,0,2135
6/15/2014,0,2880
6/16/2014,0,1718
6/17/2014,0,1574
6/18/2014,0,1559
6/19/2014,0,2046
6/20/2014,0,2363
6/21/2014,0,3433
6/22/2014,0,3620
6/23/2014,0,2352
6/24/2014,0,856
6/25/2014,0,1417
6/26/2014,0,2338
6/27/2014,0,2979
6/28/2014,0,4942
6/29/2014,0,4338
6/30/2014,0,2908
7/1/2014,0,2700
7/2/2014,0,2159
7/3/2014,0,1904
7/4/2014,0,2923
7/5/2014,0,4835
7/6/2014,0,3567
7/7/2014,0,821
7/8/2014,0,1345
7/9/2014,0,1428
7/10/2014,0,1882
7/11/2014,0,2360
7/12/2014,0,3550
7/13/2014,0,1160
7/14/2014,0,1770
7/15/2014,0,1038
7/16/2014,0,2192
7/17/2014,0,1925
7/18/2014,0,2636
7/19/2014,0,4576
7/20/2014,0,3652
7/21/2014,0,2496
7/22/2014,0,2494
7/23/2014,0,1606
7/24/2014,0,2759
7/25/2014,0,2699
7/26/2014,0,4633
7/27/2014,0,2463
7/28/2014,0,527
7/29/2014,0,2150
7/30/2014,0,1996
7/31/2014,0,1709
8/1/2014,0,3437
8/2/2014,0,5631
8/3/2014,0,5538
8/4/2014,0,3589
8/5/2014,0,2414
8/6/2014,0,2616
8/7/2014,0,2303
8/8/2014,0,3220
8/9/2014,0,4500
8/10/2014,0,3929
8/11/2014,0,2927
8/12/2014,0,2160
8/13/2014,0,210
8/14/2014,0,1494
8/15/2014,0,1279
8/16/2014,0,1377
8/17/2014,0,2143
8/18/2014,0,2351
8/19/2014,0,2589
8/20/2014,0,2580
8/21/2014,0,2064
8/22/2014,0,2458
8/23/2014,0,3947
8/24/2014,0,3625
8/25/2014,0,2301
8/26/2014,0,2225
8/27/2014,0,2280
8/28/2014,0,1905
8/29/2014,0,3083
8/30/2014,0,5367
8/31/2014,0,3957
9/1/2014,0,3349
9/2/2014,0,1491
9/3/2014,0,1762
9/4/2014,0,1634
9/5/2014,0,1553
9/6/2014,0,1166
9/7/2014,0,2254
9/8/2014,0,1329
9/9/2014,0,1506
9/10/2014,0,1531
9/11/2014,0,574
9/12/2014,0,1104
9/13/2014,0,533
9/14/2014,0,1059
9/15/2014,0,904
9/16/2014,0,917
9/17/2014,0,807
9/18/2014,0,871
9/19/2014,0,1432
9/20/2014,0,1756
9/21/2014,0,905
9/22/2014,0,1123
9/23/2014,0,815
9/24/2014,0,910
9/25/2014,0,1148
9/26/2014,0,1674
9/27/2014,0,2909
9/28/2014,0,2568
9/29/2014,0,832
9/30/2014,0,752
10/1/2014,0,723
10/2/2014,0,919
10/3/2014,0,1467
10/4/2014,0,325
10/5/2014,0,915
10/6/2014,0,607
10/7/2014,0,488
10/8/2014,0,304
10/9/2014,0,337
10/10/2014,0,657
10/11/2014,0,1520
10/12/2014,0,1977
10/13/2014,0,1353
10/14/2014,0,1020
10/15/2014,0,620
10/16/2014,0,299
10/17/2014,0,890
10/18/2014,0,901
10/19/2014,0,554
10/20/2014,0,344
10/21/2014,0,169
10/22/2014,0,242
10/23/2014,0,171
10/24/2014,0,488
10/25/2014,0,658
10/26/2014,0,548
10/27/2014,0,501
